org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
발행,0,2,1,0,1,4,3,0,2,3,1,0,4,3
밝혔다.,8,20,10,15,6,29,24,23,12,14,14,10,22,25
밝혔습니다.,3,4,3,6,4,4,4,1,3,3,1,3,4,6
밝힘.,6,8,5,6,4,10,7,4,3,7,3,2,10,7
방법으로,8,4,8,4,40,8,4,0,8,8,4,8,8,8
방영석,1,3,1,0,0,1,3,0,1,4,1,0,2,4
방지,5,7,5,8,4,8,3,1,2,3,4,3,7,8
배경을,3,4,3,6,4,4,4,1,3,3,1,3,4,6
배당,2,1,1,0,2,2,3,1,2,7,2,4,4,2
배동진,1,8,1,1,4,1,1,0,2,2,3,2,1,2
배송,2,2,0,3,2,1,3,1,0,1,1,1,0,0
배터리,5,7,2,3,0,6,5,0,1,9,3,2,8,10
버추얼,1,3,6,3,3,3,2,0,3,1,2,4,3,3
번인,4,3,7,3,0,1,3,1,2,1,4,4,1,4
번째,1,4,2,8,2,4,3,0,2,4,3,2,2,4
범용,2,6,0,0,1,9,6,20,3,4,1,1,3,3
범죄,3,3,3,4,7,6,1,1,1,3,3,8,2,1
법률자문,0,2,1,0,1,4,3,0,2,3,1,0,4,3
법무법인,0,2,1,0,1,4,3,0,2,3,1,0,4,3
베가라스,2,6,3,4,1,5,2,0,2,0,1,2,3,5
베네스트,0,2,1,0,0,1,1,0,0,2,2,3,1,0
베를린,1,2,1,2,0,3,1,0,0,0,0,2,2,0
베셀은,2,6,4,1,2,6,5,0,5,12,4,0,8,18
베셀의,2,3,2,1,2,4,3,0,2,5,2,0,4,9
베트남,2,8,5,5,1,9,5,0,3,14,2,2,8,14
변경,8,4,8,4,40,8,4,0,8,8,4,8,8,8
변경권,1,1,1,2,2,0,1,0,1,1,1,2,0,1
변화에,2,1,1,0,2,2,3,1,2,7,2,4,4,2
변화하기,0,3,0,0,0,3,1,1,1,0,1,4,1,0
보고,2,5,2,2,1,6,6,2,1,10,4,4,9,5
보고서를,2,1,1,2,1,5,7,1,1,4,1,2,8,3
보도자료,1,3,0,2,0,1,4,1,0,1,6,0,0,1
보면,3,3,3,4,7,6,1,1,1,3,3,8,2,1
보상,0,0,2,2,2,1,1,0,1,1,1,0,0,1
보상으로,3,2,3,3,3,5,1,0,1,2,4,3,2,2
보상을,3,2,3,3,3,5,1,0,1,2,4,3,2,2
보스,0,0,2,2,2,1,1,0,1,1,1,0,0,1
보안,3,4,3,6,4,4,4,1,3,3,1,3,4,6
보여준다.,3,4,1,3,0,2,2,0,1,2,1,1,1,4
보유,1,0,0,1,2,2,1,0,1,3,0,2,3,1
보유하고,5,7,2,5,3,8,3,1,2,3,2,2,7,7
보이즈,1,4,2,8,2,4,3,0,2,4,3,2,2,4
